,id,Time,User,Tweet,No of retweet,likes,Country,Tweet source,Verified
448,1621094489984241666,2023-02-02 10:33:39+00:00,justolubambo,"RT @hartng: Dear everybody at @ZenithBank, what is going on upstairs? The number of negative reviews I have seen in recent times is alarmin…",95,0,,Twitter for Android,False
449,1621094448133472258,2023-02-02 10:33:29+00:00,Praiiz_,"@Awele71121014 @ZenithBank This is the same issue i was having yesterday, i couldn't go out because of my bank yesterday",0,2,,Twitter Web App,False
450,1621094413526261762,2023-02-02 10:33:21+00:00,teeflo1,@ZenithBank .. May you not be unfortunate ooooo 🤬🤬🤬,0,1,Lagos,Twitter for Android,False
451,1621094398850400256,2023-02-02 10:33:17+00:00,RealtorMrAdex,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,Atlantic,Twitter for Android,False
452,1621094353018970112,2023-02-02 10:33:06+00:00,jameslikejc_,"At this point I can only blame this guy, after all the testimonies you've heard you still kept your money there. You don see wetin you dey find.

Remove your money from @ZenithBank they're heavily compromised.

#LeaveZenith https://t.co/HgYUyw6Ml7",0,1,,Twitter for Android,False
453,1621094349181440000,2023-02-02 10:33:05+00:00,Benny_maru_,@bod_republic @ZenithBank their charges are just too much 🤨,0,1,,Twitter for iPhone,False
454,1621094297209827329,2023-02-02 10:32:53+00:00,Olawaleolayimka,@ZenithBank My mobile app haven't been doing transaction since 31st..... I'm tired of this rubbish and you people should work on it. Na my money no be your money. Go get sense o,0,1,"Lagos, Nigeria ",Twitter for Android,False
455,1621094248904015872,2023-02-02 10:32:42+00:00,Allat_Man,"@Mr_Madox @ZenithBank @ZenithBank do not blame customers when issue of robbery is taking place in their account. Someone in your midst is compromising customers details to his cohorts. 
Suggestions: get an organization to to do independent fact check on each of your staff phones and communication.",0,0,"lagos, Nigeria ",Twitter for Android,False
456,1621094191215296514,2023-02-02 10:32:28+00:00,Thedarkmermaid,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,,Twitter for iPhone,False
457,1621094173633052675,2023-02-02 10:32:24+00:00,uncle__kaab,@ZenithBank problem😭😭😭,0,0,my house,Twitter for Android,False
458,1621094152959320064,2023-02-02 10:32:19+00:00,HELL_isthegoal,RT @Oluomoofderby: Is @ZenithBank the worst bank in Nigeria?,17,0,,Twitter for Android,False
459,1621094095090511872,2023-02-02 10:32:05+00:00,emekaagidi,"@Oluomoofderby @ZenithBank the ZenithBank I know is about the BEST BANK in Nigeria. I have been Banking with Zenith Bank for about 20 years now, no problem at all.",0,0,England,Twitter for Android,False
460,1621094072575492096,2023-02-02 10:32:00+00:00,exousiael,@ZenithBank What is happening? I've not been able to do any transactions through the mobile app,0,0,Abuja,Twitter for Android,False
461,1621094050723147778,2023-02-02 10:31:54+00:00,CEkegbu,"@ZenithBank Four different people transfer me MONEY last night money I have not seen.. alert I have not seen.. I have been using zenith bank for years.. I was even bragging that you are the best bank, but you guys have proven me wrong..",0,1,,Twitter Web App,False
462,1621094024139665409,2023-02-02 10:31:48+00:00,csmnig,RT @iykeypat: @peresei @csmnig @ZenithBank @kudahelp_ng @joinkuda D thing that will chase me away from KUDA is dat as a customer I can't re…,2,0,"Lagos, Nigeria",Twitter for Android,False
